time,wx,wy,wz
0.706,0.04,0.15,-0.03
0.707,0.07,0.12,-0.04
0.707,0.08,0.16,-0.05
0.708,0.07,0.25,-0.05
0.723,0.07,0.35,-0.05
0.724,0.07,0.37,-0.08
0.725,0.07,0.28,-0.11
0.725,0.08,0.21,-0.11
0.743,0.09,0.35,-0.1
0.745,0.12,0.6,-0.08
0.745,0.15,0.66,-0.1
0.746,0.17,0.5,-0.15
0.763,0.18,0.28,-0.17
0.764,0.2,0.19,-0.17
0.764,0.2,0.29,-0.15
0.764,0.19,0.46,-0.13
0.783,0.18,0.54,-0.14
0.785,0.18,0.51,-0.17
0.785,0.2,0.41,-0.23
0.785,0.22,0.37,-0.27
0.786,0.2,0.44,-0.29
0.803,0.2,0.58,-0.29
0.804,0.2,0.71,-0.29
0.806,0.2,0.78,-0.3
0.807,0.2,0.77,-0.32
0.823,0.19,0.73,-0.34
0.824,0.19,0.73,-0.35
0.824,0.17,0.76,-0.37
0.825,0.14,0.8,-0.38
0.842,0.14,0.82,-0.4
0.844,0.14,0.8,-0.42
0.845,0.14,0.77,-0.44
0.845,0.16,0.75,-0.45
0.863,0.18,0.76,-0.47
0.864,0.2,0.79,-0.48
0.865,0.21,0.85,-0.5
0.865,0.21,0.91,-0.51
0.884,0.21,0.95,-0.53
0.886,0.19,0.99,-0.55
0.886,0.17,1.01,-0.57
0.886,0.15,1.04,-0.58
0.887,0.12,1.06,-0.59
0.903,0.1,1.07,-0.6
0.904,0.1,1.07,-0.61
0.904,0.1,1.07,-0.62
0.904,0.12,1.07,-0.64
0.924,0.14,1.08,-0.65
0.925,0.15,1.11,-0.67
0.925,0.15,1.15,-0.69
0.926,0.16,1.18,-0.7
0.943,0.16,1.19,-0.72
0.945,0.16,1.2,-0.74
0.946,0.16,1.21,-0.75
0.946,0.15,1.23,-0.77
0.963,0.14,1.26,-0.78
0.964,0.13,1.29,-0.79
0.964,0.12,1.31,-0.8
0.965,0.12,1.34,-0.81
0.984,0.11,1.35,-0.82
0.985,0.11,1.37,-0.83
0.985,0.1,1.4,-0.84
0.986,0.1,1.42,-0.85
0.986,0.1,1.45,-0.86
1.003,0.1,1.48,-0.88
1.004,0.08,1.51,-0.89
1.005,0.06,1.57,-0.91
1.005,0.03,1.63,-0.92
1.024,0.01,1.61,-0.91
1.026,-0.01,1.54,-0.91
1.026,-0.01,1.49,-0.92
1.026,-0.01,1.43,-0.93
1.045,0,1.39,-0.93
1.047,0.02,1.41,-0.94
1.048,0.04,1.46,-0.96
1.048,0.05,1.49,-0.97
1.049,0.06,1.51,-0.99
1.065,0.06,1.54,-1
1.066,0.04,1.6,-1
1.067,0.03,1.63,-1
1.067,0,1.65,-1
1.085,-0.04,1.69,-0.99
1.086,-0.07,1.71,-1
1.087,-0.1,1.7,-0.99
1.087,-0.13,1.67,-0.99
1.105,-0.14,1.64,-1
1.106,-0.15,1.61,-1
1.106,-0.15,1.58,-1
1.107,-0.14,1.56,-1.01
1.125,-0.13,1.57,-1.01
1.126,-0.11,1.58,-1
1.127,-0.1,1.59,-0.98
1.127,-0.1,1.59,-0.99
1.144,-0.11,1.61,-0.99
1.146,-0.13,1.63,-0.99
1.148,-0.16,1.67,-0.99
1.149,-0.18,1.69,-0.99
1.166,-0.21,1.7,-0.99
1.167,-0.24,1.69,-0.98
1.167,-0.25,1.67,-0.97
1.168,-0.26,1.65,-0.96
1.168,-0.27,1.63,-0.96
1.185,-0.26,1.61,-0.96
1.187,-0.25,1.62,-0.96
1.187,-0.24,1.61,-0.95
1.187,-0.24,1.61,-0.93
1.206,-0.24,1.58,-0.91
1.208,-0.25,1.56,-0.9
1.209,-0.26,1.56,-0.89
1.209,-0.27,1.55,-0.89
1.226,-0.29,1.57,-0.88
1.227,-0.31,1.58,-0.87
1.228,-0.33,1.58,-0.87
1.228,-0.33,1.58,-0.84
1.229,-0.34,1.58,-0.83
1.246,-0.34,1.57,-0.83
1.25,-0.34,1.54,-0.82
1.251,-0.34,1.52,-0.8
1.251,-0.33,1.52,-0.78
1.266,-0.32,1.53,-0.76
1.267,-0.31,1.55,-0.76
1.268,-0.31,1.58,-0.77
1.268,-0.31,1.5,-0.77
1.286,-0.32,1.42,-0.71
1.287,-0.35,1.45,-0.66
1.287,-0.37,1.49,-0.65
1.288,-0.39,1.47,-0.65
1.305,-0.4,1.43,-0.64
1.306,-0.4,1.41,-0.64
1.307,-0.4,1.41,-0.64
1.307,-0.38,1.4,-0.62
1.327,-0.37,1.4,-0.58
1.328,-0.36,1.4,-0.56
1.328,-0.35,1.37,-0.54
1.328,-0.35,1.33,-0.53
1.329,-0.35,1.32,-0.51
1.346,-0.36,1.33,-0.49
1.35,-0.37,1.33,-0.48
1.351,-0.38,1.31,-0.47
1.351,-0.39,1.29,-0.44
1.368,-0.4,1.27,-0.42
1.369,-0.41,1.26,-0.4
1.369,-0.4,1.25,-0.38
1.37,-0.4,1.25,-0.36
1.387,-0.4,1.25,-0.35
1.388,-0.38,1.23,-0.34
1.389,-0.38,1.2,-0.33
1.389,-0.37,1.19,-0.3
1.407,-0.38,1.2,-0.27
1.408,-0.37,1.18,-0.25
1.409,-0.36,1.16,-0.23
1.41,-0.34,1.13,-0.2
1.411,-0.31,1.12,-0.16
1.427,-0.28,1.12,-0.13
1.428,-0.26,1.12,-0.11
1.428,-0.24,1.1,-0.1
1.429,-0.21,1,-0.11
1.447,-0.19,0.91,-0.12
1.45,-0.18,0.88,-0.12
1.451,-0.17,0.85,-0.09
1.451,-0.2,0.83,-0.05
1.467,-0.24,0.85,-0.02
1.468,-0.29,0.82,-0.01
1.469,-0.32,0.72,0
1.469,-0.34,0.61,0.01
1.486,-0.33,0.57,0.02
1.488,-0.3,0.59,0.04
1.488,-0.27,0.62,0.07
1.489,-0.25,0.62,0.09
1.507,-0.23,0.58,0.1
1.509,-0.23,0.44,0.1
1.509,-0.24,0.37,0.12
1.51,-0.25,0.39,0.16
1.511,-0.24,0.44,0.19
1.528,-0.22,0.46,0.21
1.529,-0.19,0.46,0.22
1.529,-0.17,0.43,0.22
1.53,-0.14,0.41,0.22
1.548,-0.12,0.41,0.24
1.552,-0.09,0.43,0.27
1.553,-0.08,0.43,0.29
1.553,-0.06,0.38,0.31
1.569,-0.05,0.31,0.33
1.57,-0.04,0.25,0.35
1.57,-0.03,0.24,0.36
1.571,-0.02,0.29,0.37
1.588,-0.01,0.3,0.39
1.589,0.01,0.22,0.4
1.59,0.02,0.11,0.4
1.59,0.02,0.06,0.41
1.608,-0.01,0.05,0.45
1.609,-0.04,0.07,0.47
1.609,-0.08,0.05,0.48
1.61,-0.09,-0.01,0.49
1.611,-0.1,-0.08,0.49
1.628,-0.08,-0.12,0.49
1.629,-0.06,-0.14,0.51
