relative_time,AccY,AccZ
0,-2.21630859375,3.9226531982421875
53,-2.2359161376953125,4.079559326171875
122,-2.275146484375,4.0599517822265625
188,-2.21630859375,
189,,4.09918212890625
255,-2.196685791015625,4.0599517822265625
322,-2.21630859375,
323,,4.1384124755859375
389,-2.2359161376953125,4.15802001953125
456,-2.255523681640625,4.0599517822265625
523,-2.255523681640625,4.09918212890625
591,-2.275146484375,
592,,4.09918212890625
657,-2.2947540283203125,4.09918212890625
724,-2.275146484375,
725,,4.1187896728515625
792,-2.2947540283203125,4.1384124755859375
859,-2.2359161376953125,4.1384124755859375
927,-2.21630859375,4.21685791015625
1029,-2.2239227294921875,4.1700286865234375
1077,-2.266021728515625,4.1187896728515625
1128,-2.271209716796875,
1129,,4.1187896728515625
1228,-2.27001953125,4.1400299072265625
1278,-1.725311279296875,2.890106201171875
1328,0.036346435546875,
1329,,-0.0548095703125
1430,0.462432861328125,-0.590972900390625
1481,0.70330810546875,-0.64447021484375
1530,0.5729827880859375,-0.3574981689453125
1631,0.443328857421875,-0.374481201171875
1681,0.4287567138671875,0.05474853515625
1732,0.3768463134765625,0.0081787109375
1832,0.2379302978515625,0.2013092041015625
1886,0.2640838623046875,0.144195556640625
1935,0.1494140625,0.852783203125
2013,0.1569061279296875,0.2353668212890625
2084,0.129547119140625,0.2991790771484375
2135,0.11370849609375,0.341339111328125
2235,0.19354248046875,0.387115478515625
2285,0.2220611572265625,0.325714111328125
2338,0.2745819091796875,0.403778076171875
2436,0.3097381591796875,0.4133758544921875
2487,0.420989990234375,
2488,,0.1847991943359375
2537,0.4471588134765625,0.0275115966796875
2638,0.643096923828125,-0.1357269287109375
2688,0.781768798828125,-0.3461456298828125
2739,0.823760986328125,-0.5450286865234375
2839,0.7870941162109375,-0.688323974609375
2894,0.722137451171875,
2895,,-0.86993408203125
2940,0.5963287353515625,-0.68670654296875
3041,0.5413665771484375,-0.8461761474609375
3091,0.4994354248046875,-0.6900634765625
3142,0.3689727783203125,-0.5809173583984375
3248,0.316375732421875,-0.3723907470703125
3296,0.3334197998046875,-0.2263946533203125
3345,0.255157470703125,-0.16558837890625
3444,0.2013092041015625,0.1480255126953125
3494,0.2079620361328125,-0.15789794921875
3544,0.1295318603515625,-0.02801513671875
3645,0.164642333984375,-0.1806488037109375
3701,0.2157440185546875,0.15875244140625
3748,0.2157440185546875,0.07122802734375
3846,0.248260498046875,
3847,,0.4299468994140625
3897,0.3698883056640625,0.494476318359375
3947,0.458831787109375,
3948,,0.4001922607421875
4048,0.556884765625,0.4919586181640625
4098,0.626251220703125,0.3544158935546875
4151,0.6941986083984375,0.286468505859375
4250,0.757171630859375,-0.0232391357421875
4300,0.6969451904296875,-0.2586822509765625
4350,0.68646240234375,-0.39996337890625
4450,0.6488494873046875,
4451,,-0.52117919921875
4502,0.520416259765625,-0.69830322265625
4552,0.4316253662109375,-0.60418701171875
4652,0.303436279296875,-0.6572723388671875
4703,0.2353668212890625,
4704,,-0.8163299560546875
4753,0.251007080078125,
4754,,-0.5650482177734375
4854,0.168792724609375,-0.4912567138671875
4904,0.135894775390625,-0.5729522705078125
4954,0.141265869140625,-0.2909393310546875
5057,0.171356201171875,-0.51983642578125
5106,0.1463775634765625,
5107,,-0.2506866455078125
5156,0.2976531982421875,-0.329437255859375
5257,0.360748291015625,-0.126312255859375
5306,0.3936309814453125,
5307,,-0.3320465087890625
5356,0.3883056640625,
5357,,-0.05560302734375
5458,0.488616943359375,0.0392303466796875
5510,0.644500732421875,0.2034454345703125
5561,0.6709442138671875,0.3767547607421875
5661,0.711212158203125,0.38970947265625
5710,0.74530029296875,0.3361663818359375
5760,0.729644775390625,0.3255157470703125
5861,0.707611083984375,0.270965576171875
5911,0.5975189208984375,0.0355224609375
5963,0.57672119140625,-0.0744781494140625
6063,0.4918060302734375,-0.2627410888671875
6113,0.3635101318359375,-0.3594512939453125
