time,wx,wy,wz
2.258,-0.3,1.44,-1.03
2.262,-0.3,1.45,-1.01
2.268,-0.29,1.45,-1
2.272,-0.3,1.46,-0.98
2.278,-0.32,1.47,-0.97
2.282,-0.33,1.47,-0.97
2.287,-0.33,1.46,-0.95
2.292,-0.33,1.43,-0.92
2.298,-0.33,1.41,-0.89
2.305,-0.33,1.4,-0.87
2.309,-0.32,1.4,-0.86
2.313,-0.32,1.38,-0.84
2.324,-0.33,1.35,-0.82
2.325,-0.34,1.35,-0.79
2.327,-0.35,1.33,-0.75
2.333,-0.36,1.31,-0.73
2.338,-0.36,1.31,-0.71
2.343,-0.36,1.28,-0.7
2.351,-0.35,1.28,-0.7
2.353,-0.35,1.26,-0.68
2.358,-0.35,1.24,-0.64
2.362,-0.35,1.23,-0.61
2.368,-0.35,1.23,-0.57
2.373,-0.35,1.2,-0.55
2.379,-0.36,1.18,-0.54
2.383,-0.35,1.17,-0.52
2.388,-0.36,1.15,-0.49
2.393,-0.35,1.14,-0.46
2.401,-0.33,1.12,-0.43
2.403,-0.32,1.1,-0.4
2.408,-0.31,1.08,-0.38
2.418,-0.28,1.08,-0.36
2.419,-0.25,1.05,-0.36
2.423,-0.25,1.04,-0.34
2.429,-0.23,1.02,-0.3
2.434,-0.22,1,-0.27
2.439,-0.21,0.97,-0.24
2.443,-0.2,0.96,-0.21
2.449,-0.19,0.96,-0.2
2.453,-0.2,0.94,-0.17
2.459,-0.24,0.92,-0.13
2.463,-0.3,0.87,-0.1
2.468,-0.33,0.83,-0.07
2.474,-0.34,0.8,-0.05
2.479,-0.33,0.8,-0.02
2.484,-0.32,0.76,-0.02
2.489,-0.32,0.79,0.03
2.495,-0.29,0.81,0.04
2.499,-0.24,0.76,0.06
2.504,-0.17,0.69,0.08
2.509,-0.12,0.64,0.12
2.514,-0.11,0.6,0.14
2.519,-0.13,0.61,0.16
2.525,-0.17,0.59,0.19
2.529,-0.22,0.51,0.21
2.534,-0.24,0.45,0.23
