time,wx,wy,wz
1.910,-0.31,-1.48,0.54
1.915,-0.31,-1.46,0.51
1.921,-0.32,-1.45,0.47
1.925,-0.32,-1.43,0.44
1.930,-0.33,-1.40,0.42
1.935,-0.34,-1.40,0.39
1.941,-0.35,-1.38,0.36
1.945,-0.36,-1.36,0.34
1.952,-0.36,-1.35,0.31
1.955,-0.36,-1.35,0.28
1.961,-0.35,-1.35,0.25
1.967,-0.35,-1.35,0.23
1.971,-0.33,-1.35,0.23
1.976,-0.33,-1.34,0.20
1.981,-0.32,-1.35,0.17
1.988,-0.30,-1.34,0.14
1.991,-0.29,-1.32,0.11
1.996,-0.29,-1.29,0.08
2.002,-0.29,-1.26,0.06
2.006,-0.29,-1.27,0.03
2.011,-0.28,-1.27,-0.00
2.018,-0.29,-1.24,-0.04
2.022,-0.29,-1.21,-0.07
2.026,-0.29,-1.19,-0.09
2.035,-0.29,-1.20,-0.12
2.036,-0.27,-1.20,-0.12
2.042,-0.27,-1.20,-0.15
2.050,-0.27,-1.18,-0.18
2.051,-0.26,-1.15,-0.21
2.056,-0.24,-1.14,-0.23
2.062,-0.24,-1.17,-0.26
2.067,-0.23,-1.16,-0.29
2.072,-0.21,-1.08,-0.31
2.077,-0.17,-1.01,-0.33
2.083,-0.13,-1.00,-0.35
2.087,-0.12,-1.00,-0.39
2.092,-0.12,-0.97,-0.41
2.101,-0.15,-0.90,-0.42
2.107,-0.18,-0.90,-0.42
2.107,-0.18,-0.84,-0.44
2.112,-0.21,-0.84,-0.48
2.117,-0.22,-0.86,-0.51
2.122,-0.19,-0.86,-0.53
2.126,-0.15,-0.82,-0.55
2.132,-0.09,-0.80,-0.56
2.137,-0.05,-0.81,-0.58
2.143,-0.02,-0.80,-0.61
2.147,-0.03,-0.77,-0.63
2.152,-0.04,-0.71,-0.65
2.157,-0.06,-0.66,-0.67
2.163,-0.09,-0.63,-0.69
2.167,-0.10,-0.63,-0.71
2.172,-0.10,-0.61,-0.71
2.178,-0.09,-0.58,-0.73
2.183,-0.06,-0.53,-0.74
2.187,-0.03,-0.50,-0.76
2.194,-0.01,-0.49,-0.78
2.197,0.01,-0.51,-0.80
2.203,0.02,-0.49,-0.81
2.208,0.01,-0.45,-0.83
2.213,0.02,-0.43,-0.84
2.218,0.03,-0.41,-0.86
2.224,0.04,-0.39,-0.88
2.229,0.04,-0.34,-0.90
2.235,0.06,-0.34,-0.91
2.237,0.06,-0.29,-0.91
2.243,0.06,-0.24,-0.93
2.247,0.06,-0.22,-0.94
2.252,0.06,-0.21,-0.95
2.259,0.04,-0.18,-0.96
2.263,0.04,-0.15,-0.97
2.267,0.04,-0.13,-0.99
2.272,0.06,-0.12,-1.00
2.278,0.07,-0.10,-1.01
2.283,0.09,-0.08,-1.02
2.288,0.11,-0.04,-1.02
2.293,0.12,0.00,-1.04
2.298,0.11,0.04,-1.05
2.304,0.09,0.04,-1.05
2.308,0.09,0.08,-1.06
2.313,0.08,0.12,-1.07
2.318,0.07,0.16,-1.07
2.324,0.07,0.18,-1.08
2.328,0.08,0.19,-1.09
2.334,0.09,0.22,-1.10
2.340,0.10,0.24,-1.10
2.344,0.11,0.25,-1.11
2.348,0.11,0.28,-1.11
2.353,0.10,0.30,-1.12
2.359,0.10,0.32,-1.11
2.364,0.09,0.37,-1.12
2.369,0.07,0.37,-1.12
2.375,0.07,0.41,-1.13
2.381,0.06,0.44,-1.13
2.385,0.06,0.47,-1.13
2.389,0.06,0.50,-1.14
2.394,0.05,0.53,-1.14
2.399,0.06,0.55,-1.13
2.404,0.07,0.56,-1.14
2.409,0.06,0.57,-1.14
2.414,0.04,0.59,-1.13
2.420,0.04,0.61,-1.13
2.425,0.03,0.63,-1.13
2.429,0.01,0.67,-1.12
2.434,-0.00,0.67,-1.12
2.439,-0.00,0.71,-1.13
2.445,-0.00,0.74,-1.11
2.449,-0.01,0.77,-1.11
2.454,-0.02,0.80,-1.11
2.459,-0.02,0.82,-1.11
2.465,-0.02,0.83,-1.11
2.470,-0.03,0.85,-1.09
2.474,-0.03,0.86,-1.08
2.479,-0.04,0.88,-1.08
2.488,-0.04,0.92,-1.07
2.490,-0.05,0.95,-1.06
2.495,-0.06,0.96,-1.05
2.501,-0.07,0.96,-1.05
2.505,-0.07,0.97,-1.05
2.509,-0.09,1.00,-1.04
2.515,-0.10,1.03,-1.02
2.520,-0.12,1.06,-1.00
2.525,-0.14,1.08,-0.99
2.530,-0.16,1.09,-0.99
2.535,-0.16,1.11,-0.98
2.539,-0.17,1.15,-0.96
2.545,-0.19,1.18,-0.95
2.551,-0.19,1.21,-0.94
2.555,-0.18,1.26,-0.91
2.560,-0.13,1.29,-0.89
2.566,-0.09,1.29,-0.89
2.570,-0.12,1.25,-0.89
2.575,-0.12,1.19,-0.90
2.580,-0.17,1.17,-0.88
2.586,-0.24,1.19,-0.83
2.590,-0.32,1.20,-0.78
2.596,-0.36,1.17,-0.76
2.601,-0.37,1.17,-0.76
2.606,-0.35,1.22,-0.76
2.611,-0.30,1.31,-0.74
2.618,-0.28,1.38,-0.71
2.622,-0.26,1.34,-0.68
2.626,-0.26,1.34,-0.65
2.631,-0.29,1.41,-0.64
2.635,-0.31,1.41,-0.64
2.640,-0.31,1.46,-0.63
2.646,-0.34,1.45,-0.61
2.650,-0.37,1.37,-0.59
2.655,-0.38,1.34,-0.57
2.661,-0.38,1.36,-0.52
2.666,-0.38,1.38,-0.49
2.671,-0.37,1.37,-0.47
2.676,-0.37,1.35,-0.44
2.681,-0.39,1.37,-0.43
2.686,-0.41,1.41,-0.40
2.691,-0.43,1.45,-0.36
2.697,-0.43,1.47,-0.34
2.701,-0.43,1.47,-0.34
2.707,-0.43,1.47,-0.33
2.712,-0.42,1.47,-0.29
2.716,-0.42,1.48,-0.27
2.721,-0.41,1.48,-0.24
2.728,-0.40,1.46,-0.21
2.731,-0.41,1.45,-0.20
2.736,-0.43,1.44,-0.18
2.741,-0.45,1.43,-0.12
2.747,-0.47,1.45,-0.07
2.751,-0.47,1.44,-0.04
2.756,-0.46,1.42,-0.02
2.777,-0.46,1.42,-0.01
2.777,-0.44,1.42,-0.01
2.778,-0.44,1.44,0.01
2.778,-0.43,1.45,0.05
2.781,-0.42,1.44,0.09
2.787,-0.42,1.43,0.10
2.792,-0.43,1.44,0.13
2.797,-0.44,1.45,0.16
2.802,-0.43,1.43,0.18
2.809,-0.43,1.40,0.21
2.812,-0.42,1.39,0.24
2.817,-0.41,1.39,0.26
2.821,-0.40,1.40,0.30
2.829,-0.40,1.39,0.33
2.832,-0.39,1.39,0.34
2.837,-0.39,1.36,0.34
2.842,-0.39,1.34,0.37
2.848,-0.40,1.35,0.40
2.852,-0.40,1.36,0.39
2.858,-0.38,1.34,0.39
2.863,-0.38,1.28,0.47
2.868,-0.39,1.31,0.53
2.874,-0.39,1.33,0.53
2.878,-0.39,1.30,0.53
2.882,-0.38,1.26,0.54
2.888,-0.38,1.25,0.55
2.892,-0.37,1.25,0.60
2.897,-0.35,1.24,0.65
2.902,-0.34,1.24,0.65
2.912,-0.34,1.22,0.67
2.918,-0.33,1.20,0.66
2.920,-0.32,1.18,0.68
2.930,-0.33,1.19,0.69
2.932,-0.33,1.20,0.71
2.932,-0.32,1.16,0.73
2.940,-0.31,1.13,0.77
2.943,-0.31,1.12,0.78
2.948,-0.29,1.11,0.79
2.952,-0.28,1.11,0.80
2.958,-0.28,1.09,0.82
2.963,-0.28,1.07,0.84
2.969,-0.29,1.07,0.84
2.973,-0.29,1.04,0.86
2.978,-0.28,1.04,0.88
2.983,-0.28,1.03,0.88
2.990,-0.28,1.01,0.90
2.993,-0.27,1.00,0.93
2.998,-0.25,0.98,0.93
3.003,-0.22,0.95,0.94
