time,wx,wy,wz
2.147,-0.08,0.32,-0.04
2.153,-0.07,0.3,-0.09
2.157,-0.03,0.23,-0.18
2.162,0.02,0.23,-0.18
2.188,0.02,0.19,-0.23
2.19,0.06,0.26,-0.2
2.19,0.08,0.4,-0.19
2.192,0.08,0.49,-0.24
2.193,0.07,0.45,-0.28
2.193,0.04,0.35,-0.28
2.199,0.01,0.34,-0.28
2.202,0,0.42,-0.35
2.207,0.02,0.49,-0.43
2.212,0.07,0.48,-0.47
2.221,0.12,0.41,-0.45
2.222,0.17,0.41,-0.42
2.228,0.19,0.41,-0.45
2.242,0.18,0.48,-0.45
2.243,0.18,0.55,-0.54
2.251,0.16,0.59,-0.59
2.252,0.14,0.58,-0.58
2.253,0.13,0.59,-0.59
2.257,0.13,0.65,-0.62
2.27,0.13,0.73,-0.64
2.271,0.13,0.76,-0.65
2.274,0.15,0.78,-0.68
2.281,0.16,0.78,-0.72
2.286,0.17,0.8,-0.75
2.288,0.15,0.86,-0.77
2.293,0.14,0.9,-0.79
2.299,0.13,0.9,-0.79
2.302,0.13,0.88,-0.78
2.308,0.13,0.86,-0.8
2.313,0.15,0.88,-0.87
2.318,0.16,0.94,-0.91
2.323,0.18,0.98,-0.91
2.331,0.18,0.98,-0.91
2.332,0.18,0.98,-0.91
2.338,0.16,1.02,-0.95
2.347,0.15,1.08,-0.99
2.347,0.13,1.13,-1.03
2.353,0.12,1.12,-1.04
2.36,0.12,1.1,-1.03
2.363,0.12,1.1,-1.03
2.368,0.12,1.12,-1.05
2.373,0.13,1.18,-1.08
2.38,0.14,1.22,-1.11
2.383,0.13,1.2,-1.12
2.388,0.12,1.19,-1.13
2.396,0.11,1.23,-1.15
2.398,0.09,1.28,-1.17
2.404,0.09,1.31,-1.17
2.416,0.08,1.3,-1.18
2.418,0.08,1.3,-1.2
2.419,0.08,1.34,-1.23
2.425,0.08,1.39,-1.24
2.428,0.07,1.39,-1.24
2.433,0.07,1.41,-1.26
2.439,0.06,1.4,-1.27
2.445,0.05,1.41,-1.26
2.448,0.04,1.44,-1.27
2.455,0.03,1.47,-1.28
2.459,0.01,1.5,-1.3
2.463,0,1.5,-1.3
2.469,-0.01,1.5,-1.3
2.477,-0.02,1.53,-1.32
2.478,-0.04,1.56,-1.34
2.484,-0.06,1.55,-1.34
2.49,-0.08,1.54,-1.34
2.494,-0.1,1.54,-1.33
2.499,-0.12,1.56,-1.33
2.507,-0.12,1.58,-1.32
2.509,-0.12,1.56,-1.33
2.514,-0.14,1.56,-1.34
2.524,-0.14,1.57,-1.33
2.525,-0.13,1.55,-1.34
2.529,-0.11,1.55,-1.33
2.534,-0.1,1.55,-1.33
2.541,-0.09,1.52,-1.32
2.546,-0.09,1.49,-1.32
2.55,-0.11,1.47,-1.33
2.555,-0.13,1.47,-1.32
2.56,-0.16,1.46,-1.31
2.565,-0.19,1.46,-1.31
2.571,-0.19,1.46,-1.31
2.575,-0.21,1.49,-1.3
2.579,-0.22,1.51,-1.29
2.59,-0.21,1.53,-1.27
2.591,-0.2,1.55,-1.26
2.595,-0.19,1.56,-1.26
2.6,-0.18,1.55,-1.24
2.605,-0.19,1.54,-1.23
2.61,-0.2,1.52,-1.22
2.615,-0.23,1.5,-1.2
2.622,-0.26,1.48,-1.19
2.625,-0.28,1.47,-1.18
2.63,-0.3,1.47,-1.18
2.638,-0.3,1.46,-1.16
2.64,-0.3,1.45,-1.13
2.645,-0.29,1.44,-1.11
2.654,-0.29,1.44,-1.11
2.655,-0.29,1.44,-1.1
2.66,-0.3,1.46,-1.07
2.671,-0.31,1.44,-1.05
2.672,-0.32,1.42,-1.03
