time;ax;ay;az;aT
4,899;1,2542;2,4886;2,6971;3,878
4,914;1,0281;2,5328;2,7325;3,865
4,915;0,9193;2,573;2,883;3,972
4,923;0,9083;2,7083;3,1486;4,251
4,932;0,7596;2,7232;3,1954;4,267
4,94;0,6486;2,7746;3,1384;4,239
4,948;0,6729;2,8231;3,1731;4,3
4,957;0,598;2,9859;3,2439;4,449
4,966;0,6393;2,9873;3,3708;4,549
4,974;0,4826;3,0056;3,1786;4,401
4,982;0,3834;3,0213;3,0025;4,277
4,991;0,578;3,0933;3,1217;4,433
4,999;0,5945;3,1225;3,14;4,468
5,007;0,4131;3,1868;3,2331;4,558
5,024;0,1922;3,1306;3,3452;4,586
5,025;0,3817;3,1902;3,4159;4,69
5,032;0,3142;3,2076;3,3058;4,617
5,041;0,1273;3,1821;3,2317;4,537
5,05;0,2526;3,2129;3,3906;4,678
5,058;0,2586;3,2217;3,39;4,684
5,066;0,2425;3,2264;3,581;4,826
5,074;0,1257;3,2467;3,4726;4,756
5,083;0,2028;3,2651;3,399;4,718
5,091;0,1605;3,2417;3,2835;4,617
5,1;0,1167;3,1167;3,2641;4,515
5,108;0,1105;3,1056;3,5563;4,723
5,116;0,1027;3,0716;3,278;4,493
5,127;0,1323;3,0741;3,2515;4,477
5,135;0,1798;3,1134;3,2217;4,484
5,144;0,3038;3,091;3,1691;4,437
5,161;0,3671;3,085;3,1133;4,398
5,162;0,4285;3,0762;3,0149;4,329
5,166;0,4103;3,0445;2,9729;4,275
5,175;0,5083;2,9315;2,8897;4,148
5,183;0,5459;2,8929;2,8038;4,066
5,192;0,5628;2,9101;2,7551;4,047
5,2;0,6178;2,9243;2,6842;4,017
5,209;0,6911;2,7978;2,5907;3,875
5,217;0,6656;2,7472;2,5338;3,796
5,225;0,7176;2,6941;2,4935;3,74
5,234;0,7494;2,6378;2,4115;3,652
5,242;0,8001;2,5195;2,3666;3,548
5,251;0,87;2,4572;2,3389;3,502
5,259;0,9786;2,4118;2,2307;3,428
5,267;1,1065;2,3436;2,0419;3,299
5,276;1,0775;2,2721;1,9693;3,194
5,284;1,1465;2,2172;1,933;3,157
5,297;1,2351;2,0816;1,8743;3,061
5,303;1,3278;1,9787;1,8313;3,005
5,315;1,4005;1,8541;1,6696;2,861
5,318;1,4929;1,7683;1,5282;2,773
5,326;1,4495;1,661;1,1144;2,47
5,334;1,5431;1,4744;1,206;2,451
5,343;1,6371;1,404;1,0437;2,396
5,351;1,6735;1,2941;0,8828;2,292
5,36;1,7708;1,1195;0,7324;2,219
5,368;1,8302;0,9422;0,659;2,161
5,376;1,9305;0,8815;0,5475;2,192
5,385;1,9149;0,7787;0,4557;2,117
5,393;1,9794;0,6743;0,3431;2,119
5,402;2,0063;0,5294;0,3262;2,1
5,41;2,1135;0,4041;0,23;2,164
5,418;2,1245;0,2771;0,0523;2,143
5,427;2,1181;0,1695;-0,0672;2,126
5,436;2,1139;0,0605;-0,1672;2,121
5,452;2,2293;-0,0482;-0,2665;2,246
5,453;2,2488;-0,1581;-0,4845;2,306
5,461;2,1923;-0,2873;-0,6441;2,303
5,469;2,1967;-0,4152;-0,6662;2,333
5,477;2,2426;-0,5037;-0,7677;2,423
5,486;2,271;-0,6109;-0,869;2,507
5,494;2,282;-0,718;-0,9703;2,582
5,505;2,256;-0,8637;-1,091;2,651
5,511;2,193;-0,9684;-1,1915;2,677
5,521;2,2496;-1,1303;-1,3704;2,866
5,527;2,2298;-1,2124;-1,4516;2,924
5,537;2,1533;-1,2926;-1,5321;2,942
5,544;2,0985;-1,4304;-1,6132;3,009
5,553;2,1238;-1,5265;-1,7127;3,126
5,561;2,0922;-1,6213;-1,8319;3,219
5,572;2,0817;-1,7323;-1,9107;3,314
5,58;1,975;-1,7829;-2,068;3,37
5,594;1,9089;-1,9087;-2,1258;3,436
5,595;1,864;-1,9541;-2,2811;3,535
5,603;1,8983;-2,035;-2,3759;3,659
5,611;1,7768;-2,1522;-2,5081;3,752
5,619;1,6762;-2,2667;-2,6979;3,902
5,628;1,6542;-2,3377;-2,7483;3,969
5,637;1,4961;-2,4062;-2,7982;3,982
5,645;1,4367;-2,4717;-2,905;4,076
5,654;1,3771;-2,5329;-3,0091;4,167
5,661;1,4157;-2,5913;-3,0921;4,276
5,67;1,3171;-2,6072;-3,2118;4,341
5,679;1,2772;-2,6984;-3,29;4,443
5,686;1,1192;-2,7468;-3,424;4,53
5,695;1,0195;-2,7908;-3,4385;4,544
5,704;1,0368;-2,8116;-3,3925;4,526
5,712;1,0727;-2,849;-3,4614;4,61
5,72;0,9321;-2,9032;-3,5876;4,708
5,729;0,869;-2,9532;-3,6532;4,777
5,737;0,8824;-2,9598;-3,6759;4,801
5,745;0,7386;-3,0038;-3,7946;4,896
5,753;0,6531;-3,0064;-3,8329;4,915
5,763;0,6053;-3,0639;-3,8686;4,972
5,77;0,6342;-3,0782;-3,9218;5,026
5,779;0,5443;-3,0694;-3,9143;5,004
5,787;0,4331;-3,0775;-3,9819;5,051
5,796;0,3008;-3,1418;-4,105;5,178
5,804;0,3422;-3,1039;-4,1259;5,174
5,812;0,3816;-3,1018;-4,1641;5,206
5,821;0,3998;-3,0969;-4,2003;5,234
5,831;0,2012;-3,0897;-4,2931;5,293
5,838;0,2159;-3,0988;-4,2258;5,245
5,849;0,2087;-3,0657;-4,2925;5,279
5,855;0,1802;-3,0309;-4,2778;5,246
5,863;0,1109;-3,0138;-4,2213;5,188
5,872;0,0788;-2,9941;-4,2013;5,16
5,88;0,0841;-2,9718;-4,2181;5,161
5,888;0,0285;-2,9276;-4,3298;5,227
5,897;-0,068;-2,901;-4,5946;5,434
5,905;0,0489;-2,8324;-4,7;5,488
5,914;0,1627;-2,8175;-4,5282;5,336
5,922;0,0589;-2,8185;-4,3154;5,155
5,93;0,0513;-2,7768;-4,3166;5,133
5,939;0,0616;-2,7135;-4,2171;5,015
5,947;0,1679;-2,6297;-4,2708;5,018
5,956;0,1742;-2,5646;-4,4571;5,145
5,965;0,1784;-2,538;-4,5992;5,256
5,979;0,2588;-2,4502;-4,522;5,15
5,983;0,3759;-2,4171;-4,3243;4,968
5,998;0,3539;-2,3613;-4,3005;4,919
5,999;0,3312;-2,3425;-4,1774;4,801
6,01;0,3465;-2,3024;-4,1691;4,775
6,014;0,4386;-2,2222;-4,2156;4,786
6,023;0,3727;-2,1607;-4,4151;4,93
6,03;0,5214;-2,1165;-4,377;4,89
6,039;0,492;-2,0493;-4,3357;4,821
6,047;0,6575;-1,9204;-4,1354;4,607
6,056;0,6656;-1,8479;-4,0708;4,52
6,064;0,7512;-1,8323;-4,0817;4,537
6,072;0,9145;-1,7169;-4,1292;4,564
6,081;0,8819;-1,6189;-3,9409;4,351
6,09;0,8882;-1,5771;-3,7509;4,165
6,098;0,8549;-1,4942;-3,6948;4,076
6,111;0,8999;-1,3704;-3,7144;4,06
6,117;1,0619;-1,2842;-3,848;4,193
6,125;1,0931;-1,1244;-3,5831;3,911
6,131;1,1636;-1,0427;-3,2239;3,583
6,14;1,2151;-0,9212;-3,0622;3,421
6,148;1,1702;-0,8189;-2,9593;3,286
6,157;1,3591;-0,6784;-3,1069;3,458
6,165;1,3529;-0,5588;-3,1918;3,511
6,174;1,4254;-0,4396;-3,2149;3,544
6,182;1,4592;-0,3198;-2,964;3,319
6,191;1,5505;-0,2604;-2,6476;3,079
6,199;1,6428;-0,1415;-2,4075;2,918
6,208;1,6187;-0,0408;-2,3226;2,831
6,216;1,5772;0,0972;-2,161;2,677
6,224;1,7133;0,2167;-2,2327;2,823
6,232;1,7138;0,2773;-2,2449;2,838
6,241;1,7155;0,2803;-2,0975;2,724
6,251;1,8947;0,4594;-1,9279;2,742
6,258;1,8795;0,56;-1,8353;2,686
6,27;1,9248;0,7183;-1,8794;2,784
6,276;1,8542;0,7979;-1,7252;2,655
6,285;1,9812;0,9756;-1,5111;2,676
6,291;1,9924;1,1124;-1,3372;2,645
6,299;1,9661;1,1499;-1,2409;2,594
6,308;2,0394;1,2648;-1,1821;2,675
6,317;2,036;1,3582;-1,0843;2,677
6,325;2,0734;1,4691;-1,0843;2,763
6,333;2,0339;1,5591;-0,9832;2,745
6,342;1,9961;1,6465;-0,7443;2,692
6,35;1,9795;1,7515;-0,6035;2,711
6,359;2,0428;1,9139;-0,5008;2,844
6,367;2,0487;1,9948;-0,3995;2,887
6,376;2,0168;2,1127;-0,2991;2,936
6,384;1,908;2,1889;-0,3164;2,921
6,392;1,8985;2,2621;-0,0979;2,955
6,401;1,9099;2,3917;0,0624;3,061
6,408;1,7852;2,4394;0,1819;3,028
6,427;1,6812;2,503;0,2621;3,027
6,429;1,6957;2,5633;0,3622;3,095
6,434;1,7892;2,679;0,3444;3,24
6,445;2,0006;2,6536;0,7378;3,404
6,45;1,5072;2,7418;0,9114;3,259
6,459;1,7008;2,8675;0,928;3,461
6,468;1,7383;2,7746;0,9285;3,403
6,476;1,756;2,8139;1,0242;3,471
6,484;1,5387;2,9087;0,9779;3,433
6,493;1,5573;2,9613;1,1491;3,538
6,501;1,5959;3,0094;1,636;3,779
6,512;1,262;2,9942;1,5504;3,6
6,518;1,2218;3,0934;1,5977;3,69
6,527;1,3586;3,1318;1,6654;3,798
6,534;1,3768;3,1457;1,75;3,854
6,545;1,1985;3,1358;1,8122;3,815
6,551;0,9893;2,9699;1,9682;3,698
6,564;1,2082;3,0161;2,2193;3,935
6,568;0,9204;3,0193;2,2129;3,855
6,576;0,8285;2,9609;2,1831;3,771
6,585;0,8343;2,9201;2,2307;3,768
6,593;0,859;2,877;2,3544;3,816
6,601;0,7855;2,7919;2,4156;3,775
6,61;0,6539;2,7236;2,4736;3,737
6,618;0,6784;2,6533;2,5494;3,742
6,627;0,6632;2,6386;2,6033;3,765
6,635;0,5892;2,5442;2,5568;3,655
6,644;0,5927;2,487;2,5855;3,636
6,652;0,6536;2,5241;2,5934;3,678
6,661;0,5962;2,4212;2,5397;3,559
6,669;0,4997;2,2961;2,6769;3,562
6,677;0,5066;2,2357;2,8828;3,683
6,686;0,4151;2,1533;2,9685;3,691
6,696;0,4206;2,1074;3,0115;3,7
6,704;0,3468;1,9812;3,0897;3,687
6,711;0,37;1,9319;3,0852;3,659
6,719;0,4114;1,9588;3,0366;3,637
6,728;0,3926;1,8844;3,062;3,617
6,736;0,4314;1,8067;3,0641;3,583
6,744;0,4502;1,7466;3,0842;3,573
6,753;0,4489;1,6843;3,1021;3,558
6,761;0,4275;1,6203;2,9609;3,402
6,77;0,406;1,5153;2,9167;3,312
6,778;0,4627;1,4095;3,0273;3,371
6,786;0,4598;1,4386;3,0759;3,427
6,795;0,3975;1,2697;3,1796;3,447
6,803;0,3935;1,1969;3,1823;3,423
6,811;0,428;1,1231;3,2596;3,474
6,827;0,4811;1,0676;3,1167;3,329
6,83;0,4355;0,9519;3,0681;3,242
6,844;0,4486;0,7952;3,0174;3,153
6,845;0,481;0,7553;2,9834;3,115
6,853;0,4545;0,6942;2,9668;3,081
6,862;0,4477;0,6121;2,9482;3,044
6,87;0,4604;0,5297;3,0052;3,086
6,879;0,5314;0,3874;2,9992;3,07
6,887;0,5756;0,2802;2,9353;3,004
6,896;0,5612;0,1727;2,8495;2,909
6,904;0,6052;0,0853;2,723;2,791
6,913;0,591;-0,0012;2,6545;2,72
6,921;0,5583;-0,0288;2,5081;2,57
6,93;0,5653;-0,134;2,3808;2,451
6,938;0,6306;-0,2772;2,3686;2,467
6,949;0,6568;-0,3224;2,3152;2,428
6,954;0,6635;-0,4448;2,2777;2,414
6,972;0,6705;-0,5846;2,1022;2,283
6,973;0,6587;-0,6648;2,0228;2,229
6,981;0,7636;-0,744;1,8837;2,164
6,988;0,8292;-0,841;1,7642;2,123
6,996;0,8561;-0,879;1,7022;2,098
7,004;0,8253;-0,9745;1,6966;2,123
7,013;0,8731;-1,0676;1,5923;2,107
7,021;0,8629;-1,1397;1,5063;2,077
7,03;0,9309;-1,2097;1,3221;2,019
7,038;0,9407;-1,2782;1,2146;1,999
7,047;0,9703;-1,3635;1,1257;2,017
7,055;1,0003;-1,4665;1,0544;2,065
7,063;1,05;-1,5083;0,9434;2,066
7,072;1,0806;-1,5294;0,851;2,057
7,08;1,0727;-1,5865;0,7583;2,06
7,088;1,027;-1,661;0,6836;2,069
7,097;1,0602;-1,6943;0,569;2,078
7,106;1,0356;-1,7644;0,4532;2,096
7,12;1,0315;-1,8505;0,3759;2,152
7,122;1,0282;-1,8952;0,2581;2,172
7,13;1,0255;-1,9364;0,1595;2,197
7,14;1,1203;-1,8782;0,0023;2,187
7,147;1,0793;-1,9737;-0,2118;2,259
7,157;1,0394;-2,0263;-0,4443;2,32
7,164;1,0971;-2,0554;-0,6163;2,41
7,173;0,9998;-2,0619;-0,6695;2,387
7,18;0,9624;-2,1242;-0,6838;2,43
7,189;0,9645;-2,1434;-0,7739;2,475
7,198;0,9474;-2,1592;-0,8821;2,518
7,206;0,9503;-2,2301;-0,9705;2,611
7,215;0,8372;-2,2383;-1,0374;2,605
7,225;0,8998;-2,2427;-1,0855;2,649
7,237;0,923;-2,2044;-1,1146;2,637
7,245;0,9271;-2,2031;-1,2036;2,676
7,248;0,8539;-2,2173;-1,4273;2,772
7,257;0,8199;-2,2269;-1,4907;2,802
7,264;0,8447;-2,1944;-1,5734;2,829
7,273;0,8112;-2,1785;-1,6745;2,865
7,281;0,8362;-2,1784;-1,6777;2,874
7,29;0,7639;-2,1549;-1,7378;2,872
7,298;0,7698;-2,128;-1,8158;2,901
7,307;0,7565;-2,04;-1,9514;2,923
7,315;0,7239;-2,0469;-2,0453;2,983
7,323;0,7304;-1,9925;-2,1753;3,039
7,332;0,6981;-1,9549;-2,2263;3,044
7,342;0,6082;-1,8956;-2,3135;3,052
7,348;0,616;-1,8527;-2,3797;3,078
7,361;0,6234;-1,7863;-2,3475;3,015
7,365;0,6112;-1,757;-2,4301;3,06
7,374;0,5991;-1,7055;-2,4721;3,062
7,383;0,5676;-1,5938;-2,5693;3,076
7,39;0,5366;-1,5775;-2,6451;3,126
7,4;0,6022;-1,5005;-2,7558;3,195
7,408;0,6088;-1,4407;-2,8056;3,212
7,416;0,5763;-1,3984;-2,969;3,332
7,424;0,5635;-1,335;-2,9925;3,325
7,432;0,5309;-1,2701;-2,9739;3,277
7,441;0,5372;-1,1645;-3,0697;3,327
7,45;0,5237;-1,0776;-3,1031;3,326
7,458;0,529;-1,009;-3,1327;3,333
7,466;0,495;-1,0158;-3,178;3,373
7,475;0,5193;-0,9432;-3,1044;3,286
7,484;0,4852;-0,8688;-3,0501;3,208
7,492;0,4516;-0,7938;-3,0724;3,205
7,507;0,4764;-0,6791;-3,1889;3,295
7,508;0,4812;-0,5837;-3,2626;3,349
7,517;0,4859;-0,5078;-3,275;3,35
7,525;0,4128;-0,4513;-3,323;3,379
7,533;0,4179;-0,3164;-3,2903;3,332
7,542;0,4806;-0,24;-3,3134;3,357
7,55;0,5036;-0,1438;-3,3145;3,356
7,558;0,4875;-0,0664;-3,3131;3,349
7,567;0,4906;0,0102;-3,309;3,345
7,575;0,3968;0,0486;-3,2439;3,268
7,584;0,4201;0,1252;-3,1964;3,226
7,592;0,4236;0,1816;-3,2825;3,315
7,601;0,4077;0,2193;-3,3268;3,359
7,609;0,4306;0,334;-3,3871;3,431
7,617;0,4337;0,4673;-3,3474;3,408
7,63;0,4366;0,5408;-3,3252;3,397
7,634;0,3236;0,6519;-3,5336;3,608
7,658;0,3279;0,7038;-3,6784;3,759
7,659;0,4286;0,7957;-3,4694;3,585
7,66;0,4309;0,8105;-3,2408;3,368
7,668;0,2782;0,8839;-3,0505;3,188
7,676;0,2825;0,9565;-3,0159;3,177
7,684;0,4995;1,0476;-2,8825;3,107
7,692;0,442;1,1349;-2,9592;3,2
7,701;0,4041;1,1819;-3,3402;3,566
7,709;0,4631;1,3054;-3,3835;3,656
7,718;0,521;1,3884;-2,9969;3,344
7,726;0,4618;1,4509;-2,7282;3,124
7,734;0,4617;1,5123;-2,6746;3,107
7,743;0,52;1,6509;-2,7363;3,238
7,751;0,5967;1,7478;-2,6391;3,221
7,76;0,556;1,7251;-2,5795;3,153
7,768;0,2066;1,8567;-2,7518;3,326
7,779;0,4986;2,3547;-1,7287;2,963
7,785;0,4945;2,4021;-1,6534;2,958
7,793;1,1115;2,8904;-0,4097;3,124
7,803;-0,0207;3,1933;0,9309;3,326
7,81;0,7248;3,6896;3,2798;4,99
7,818;1,4506;4,5367;4,1904;6,344
7,827;0,476;4,7865;3,8764;6,178
7,835;0,6775;4,7907;3,7116;6,098
7,843;0,682;4,8307;3,7259;6,139
7,853;0,5506;4,6135;3,2821;5,689
7,86;0,4389;4,3142;2,7572;5,139
7,871;0,463;3,9132;2,355;4,591
7,877;0,2908;3,5288;1,8746;4,006
7,887;0,3542;3,0263;1,3137;3,318
7,894;0,3578;3,0498;1,3236;3,344
7,904;0,3214;2,4436;1,0412;2,676
7,911;-0,2823;1,8183;1,0308;2,109
7,936;0,1528;1,1561;0,9238;1,488
7,938;0,0187;0,3971;1,2132;1,277
7,938;-0,2523;-0,125;1,4646;1,491
7,945;-0,15;-0,349;1,7159;1,757
7,956;-0,145;-0,3153;1,7323;1,767
7,961;0,0172;-0,3196;1,6688;1,699
7,97;-0,094;-0,1659;1,5045;1,517
7,978;0,0701;0,3428;1,4956;1,536
7,986;0,2344;0,8523;1,7816;1,989
7,995;0,2026;1,2813;2,0073;2,39
8,004;0,2101;1,3164;2,0157;2,417
8,011;0,3151;1,7612;2,2004;2,836
8,019;0,4395;2,0471;2,1489;3
8,028;0,3088;2,0355;2,2313;3,036
8,036;0,0217;2,0808;2,4486;3,213
8,045;0,2635;2,0476;2,7651;3,451
8,056;0,1717;1,9936;2,8851;3,511
8,062;0,1782;2,0156;2,8824;3,522
8,07;0,126;1,899;2,6608;3,271
8,079;0,1329;1,6848;2,6141;3,113
8,087;0,1794;1,4702;2,0744;2,549
8,095;-0,0092;1,2549;1,7889;2,185
8,103;0,0957;1,1181;1,5852;1,942
8,112;0,1024;1,1384;1,5799;1,95
8,12;0,1091;1,0805;1,3985;1,771
8,129;0,0179;1,0026;1,4133;1,733
8,137;0,0642;1,0815;1,4065;1,775
8,145;0,1499;1,1798;1,4172;1,85
8,154;0,0983;1,2964;1,3881;1,902
8,162;0,1056;1,3926;1,2985;1,907
8,171;0,1129;1,4097;1,2869;1,912
8,182;0,0415;1,3868;1,2961;1,899
8,187;0,0089;1,3435;1,2674;1,847
8,197;0,1331;1,3006;1,2781;1,828
8,205;0,1201;1,2772;1,2883;1,818
8,213;0,0483;1,2721;1,1011;1,683
8,221;0,0551;1,2858;1,0882;1,685
8,229;0,0424;1,2208;0,7808;1,45
8,238;0,0883;1,1557;0,5917;1,301
8,246;0,0557;1,0321;0,4236;1,117
8,255;0,0621;1,0654;0,4146;1,145
8,263;0,1077;1,1581;0,4659;1,253
8,272;0,0944;1,2505;0,38;1,31
8,28;0,1004;1,2631;0,3721;1,321
8,288;0,1061;1,3728;0,4043;1,435
8,296;0,1117;1,5214;0,3779;1,572
8,305;0,1366;1,61;0,2532;1,635
8,314;0,1219;1,6382;0,109;1,646
8,326;0,146;1,6655;0,0637;1,673
8,331;0,1498;1,6719;0,0589;1,68
8,341;0,1137;1,6184;0,0172;1,622
8,347;0,1162;1,5051;0,0949;1,513
8,355;0,0791;1,274;0,2707;1,305
8,364;0,0226;1,0628;0,4071;1,138
8,372;0,0641;0,7738;0,5033;0,925
8,38;0,0273;0,524;0,4024;0,661
8,389;0,0297;0,5289;0,3996;0,664
8,397;-0,0461;0,3394;0,3397;0,482
8,406;-0,0236;0,2694;0,497;0,566
8,414;-0,001;0,3179;0,7725;0,835
8,423;0,0217;0,4452;1,0479;1,139
8,431;0,0446;0,6311;1,1651;1,326
8,44;0,0481;0,6404;1,1633;1,329
8,451;0,13;0,7079;1,1798;1,382
8,457;0,1725;0,7357;1,1955;1,414
8,464;0,1173;0,7831;1,1904;1,43
8,473;0,0038;0,7525;1,2043;1,42
8,481;-0,0314;0,7611;1,1997;1,421
8,493;0,0116;0,789;1,1368;1,384
8,498;0,0155;0,7973;1,1324;1,385
8,506;0,0781;0,8446;1,1082;1,395
8,515;0,1015;0,8914;1,1224;1,437
8,523;0,1055;0,9189;1,1941;1,51
8,531;0,1099;0,927;1,1469;1,479
8,54;0,075;0,856;1,0013;1,319
8,549;0,0791;0,8626;0,9922;1,317
8,557;0,1809;0,81;0,553;0,997
8,566;0,0472;0,6402;0,3521;0,732
8,574;-0,0656;0,4862;0,7126;0,865
8,586;0,0365;0,5878;1,1268;1,271
8,591;0,099;0,8049;1,1091;1,374
8,599;0,1413;1,1524;0,5655;1,291
8,607;0,1442;1,1442;0,5471;1,276
8,615;0,147;1,2898;0,1023;1,302
8,624;0,2074;1,4728;0,1502;1,495
8,632;0,1695;1,4209;0,4715;1,507
8,64;0,0153;1,2717;0,6545;1,43
8,649;0,0177;1,0463;0,5642;1,189
8,657;0,02;1,0357;0,5508;1,173
8,666;0,0802;0,8503;0,2847;0,9
8,674;0,0234;0,7062;0,1778;0,729
8,683;0,0644;0,643;0,3641;0,742
8,691;0,0084;0,6209;0,5297;0,816
8,7;-0,008;0,7356;0,6358;0,972
8,708;0,0921;0,8298;0,7018;1,091
8,716;0,094;0,8252;0,6888;1,079
8,725;0,134;0,9153;0,6364;1,123
8,734;0,1537;0,8863;0,6026;1,083
8,746;0,1733;0,7992;0,6068;1,018
8,756;0,0959;0,7135;0,6109;0,944
8,758;0,039;0,7067;0,5966;0,926
8,767;0,0407;0,7003;0,5836;0,913
8,775;-0,0157;0,6553;0,687;0,95
8,784;0,0835;0,5333;0,5173;0,748
8,794;0,0651;0,5092;0,3502;0,621
8,8;-0,0112;0,4858;0,4379;0,654
8,81;0,0105;0,5408;0,4085;0,678
8,817;-0,0068;0,4987;0,5735;0,76
8,826;-0,0046;0,4955;0,5619;0,749
8,834;-0,0023;0,5114;0,4333;0,67
8,843;0,0001;0,4692;0,4224;0,631
8,851;0,0409;0,4274;0,5288;0,681
8,86;0,2548;0,4438;0,5376;0,742
8,868;0,0593;0,4199;0,7972;0,903
8,881;0,0599;0,4346;0,7432;0,863
8,885;0,0028;0,4303;0,7279;0,846
8,904;0,1014;0,5422;0,403;0,683
8,906;0,0629;0,4965;0,1981;0,538
8,91;0,0056;0,4325;0,345;0,553
8,918;-0,0123;0,3714;0,5893;0,697
8,927;-0,0104;0,3895;0,5021;0,636
8,935;-0,0082;0,3876;0,492;0,626
8,943;0,0131;0,346;0,0746;0,354
8,951;-0,0428;0,4022;-0,6083;0,731
8,96;0,2511;0,5757;-0,5477;0,833
8,968;0,2702;0,71;-0,08;0,764
8,977;0,1139;0,7452;0,2693;0,801
8,985;0,2102;0,777;0,1692;0,823
8,994;0,2074;0,7658;0,1658;0,811
9,008;0,0298;0,6153;0,3534;0,71
9,016;0,1259;0,3691;0,5157;0,647
9,018;0,0083;0,1264;-0,0025;0,127
9,031;-0,0883;0,0805;-0,0687;0,138
9,04;-0,0091;0,1542;0,1783;0,236
9,044;-0,0084;0,1535;0,1754;0,233
9,054;-0,0081;0,1934;0,3699;0,417
9,06;-0,0273;0,2327;0,3883;0,453
9,071;-0,0653;0,2327;0,212;0,322
