time;ax;ay;az;aT
1,099;3,3162;-0,5154;0,0358;3,356
1,105;3,2976;-0,5607;0,2375;3,353
1,116;3,2229;-0,7622;0,3215;3,327
1,122;3,2291;-0,8637;0,4431;3,372
1,131;3,2574;-0,9441;0,5251;3,432
1,138;3,2685;-1,0818;0,6461;3,503
1,148;3,1058;-1,2182;0,7865;3,428
1,155;3,1415;-1,3333;0,9272;3,536
1,165;3,0815;-1,4652;0,9894;3,553
1,172;3,0433;-1,5362;1,2081;3,617
1,182;3,0665;-1,626;1,33;3,717
1,19;2,9958;-1,7966;1,4593;3,786
1,203;2,9051;-1,84;1,5583;3,775
1,206;2,7161;-1,9149;1,6674;3,718
1,219;2,4726;-2,0118;1,8234;3,672
1,222;2,9748;-2,1052;1,9002;4,11
1,231;3,0079;-2,1757;2,017;4,225
1,239;2,5914;-2,223;2,2283;4,077
1,247;2,6657;-2,3057;2,2601;4,187
1,256;2,2519;-2,3452;2,4309;4,06
1,264;2,2701;-2,401;2,4618;4,12
1,273;1,8776;-2,4728;2,5687;4,03
1,281;2,0939;-2,5419;2,7346;4,281
1,289;2,1339;-2,5877;2,84;4,395
1,298;1,8409;-2,6096;3,0014;4,383
1,307;1,8423;-2,6468;2,9858;4,395
1,315;1,5505;-2,7389;3,0483;4,382
1,323;1,6117;-2,7488;3,1097;4,452
1,336;1,3592;-2,7738;3,0325;4,329
1,349;1,4004;-2,7952;3,1294;4,423
1,352;1,5575;-2,7739;3,3388;4,612
1,359;1,5165;-2,7527;3,5586;4,748
1,365;1,3177;-2,9878;3,809;5,017
1,375;0,9031;-2,9863;4,7013;5,642
1,381;0,9556;-2,8809;4,9988;5,848
1,39;0,6713;-2,8451;4,3719;5,259
1,398;0,6992;-2,842;4,4317;5,311
1,408;0,6098;-2,8922;3,9467;4,931
1,415;0,9092;-2,8377;3,499;4,596
1,423;0,7539;-2,7423;3,2589;4,325
1,432;0,4813;-2,8258;3,6813;4,666
1,441;0,4258;-2,8511;4,1435;5,048
1,45;0,4468;-2,8345;4,1905;5,079
1,458;0,5041;-2,7743;4,2141;5,07
1,467;0,3832;-2,6922;4;4,837
1,474;0,3396;-2,7257;3,9997;4,852
1,483;0,3529;-2,66;4,2499;5,026
1,492;0,1276;-2,6144;4,9023;5,557
1,5;0,214;-2,5886;5,2556;5,862
1,509;0,2198;-2,5592;5,2729;5,865
1,516;0,2801;-2,5417;4,9537;5,575
1,524;0,181;-2,5174;4,4966;5,157
1,533;0,1403;-2,4913;4,5098;5,154
1,541;0,3521;-2,4054;4,3625;4,994
1,55;0,2858;-2,3179;4,287;4,882
1,558;0,2773;-2,27;4,2873;4,859
